,observed_on,place_guess,latitude,longitude,place_state_name,scientific_name,common_name,iconic_taxon_name,park,state,ParkName,Park
11942,2020-06-13,"Yellowstone National Park, Alta, WY, US",44.379431653299996,-110.57378567379999,Wyoming,Lepus townsendii,White-tailed Jackrabbit,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
11943,2020-06-16,"Yosemite National Park, Yosemite National Park, CA, US",37.7387602711,-119.5739622786,California,Vespertilionidae,Evening Bats,Mammalia,Yosemite National Park,CA,Yosemite ,Yosemite NP
11944,2020-06-17,"Rocky Mountain National Park, Estes Park, CO, US",40.31081333,-105.64016667,Colorado,Cervus canadensis,Wapiti,Mammalia,Rocky Mountain National Park,CO,Rocky Mountain ,Rocky Mountain NP
11945,2020-06-17,"Merced River, Yosemite National Park, CA, US",37.7311441963,-119.5585354441,California,Sciurus griseus,Western Gray Squirrel,Mammalia,Yosemite National Park,CA,Yosemite ,Yosemite NP
11946,2017-08-20,"Glacier National Park, Glacier County, US-MT, US",48.6401115936,-113.6771331132,Montana,Ursus arctos,Brown Bear,Mammalia,Glacier National Park,MT,Glacier ,Glacier NP
11947,2020-06-16,"Wind Cave National Park, Custer County, US-SD, US",43.6225963617,-103.49209053450001,South Dakota,Taxidea taxus,American Badger,Mammalia,Wind Cave National Park,SD,Wind Cave ,Wind Cave NP
11948,2020-06-16,"Glacier National Park, Essex, MT, US",48.61145,-113.85929167,Montana,Odocoileus virginianus,White-tailed Deer,Mammalia,Glacier National Park,MT,Glacier ,Glacier NP
11949,2020-06-17,"Blount County, Great Smoky Mountains National Park, US-TN, US",35.6189039816,-83.9168058616,Tennessee,Procyon lotor,Common Raccoon,Mammalia,Great Smoky Mountains National Park,TN,Great Smoky Mountains ,Great Smoky Mountains NP
11950,2020-06-16,"Rocky Mountain, Rocky Mountain National Park, Rocky Mountain National Park, Larimer County, US-CO, US",40.3606169108,-105.5888150766,Colorado,Odocoileus hemionus hemionus,Rocky Mountain Mule Deer,Mammalia,Rocky Mountain National Park,CO,Rocky Mountain ,Rocky Mountain NP
11951,2020-06-16,"Rocky Mountain, Rocky Mountain National Park, Rocky Mountain National Park, Larimer County, US-CO, US",40.3074124145,-105.6429978566,Colorado,Callospermophilus lateralis,Golden-mantled Ground Squirrel,Mammalia,Rocky Mountain National Park,CO,Rocky Mountain ,Rocky Mountain NP
11952,2020-06-16,"Rocky Mountain, Rocky Mountain National Park, Rocky Mountain National Park, Larimer County, US-CO, US",40.3071631817,-105.6425921986,Colorado,Callospermophilus lateralis,Golden-mantled Ground Squirrel,Mammalia,Rocky Mountain National Park,CO,Rocky Mountain ,Rocky Mountain NP
11953,2020-06-17,"Rocky Mountain, Rocky Mountain National Park, Rocky Mountain National Park, Grand County, US-CO, US",40.3594178755,-105.85570006799999,Colorado,Cervus canadensis,Wapiti,Mammalia,Rocky Mountain National Park,CO,Rocky Mountain ,Rocky Mountain NP
